::1 - - [13/Mar/2025:17:38:11 +0000] "POST /orders HTTP/1.1" 200 409
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:48 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:50 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:34:50 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [13/Mar/2025:18:36:52 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::ffff:127.0.0.1 - - [13/Mar/2025:18:36:52 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:36:52 +0000] "OPTIONS /books HTTP/1.1" 204 0
::ffff:127.0.0.1 - - [13/Mar/2025:18:36:52 +0000] "OPTIONS /books HTTP/1.1" 204 0
::ffff:127.0.0.1 - - [13/Mar/2025:18:36:54 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:55 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:55 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:55 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:55 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:55 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:55 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::ffff:127.0.0.1 - - [13/Mar/2025:18:36:55 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:56 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:56 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:56 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:56 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:36:56 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:37:03 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:37:03 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:37:03 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:37:03 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:38:59 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:38:59 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:40:17 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:40:17 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:40:26 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:40:26 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:40:26 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:40:26 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:40:29 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:40:29 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:41:16 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:41:16 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:41:16 +0000] "OPTIONS /books/NaN HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:41:16 +0000] "GET /books/NaN HTTP/1.1" 422 104
::1 - - [13/Mar/2025:18:41:16 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:41:16 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:41:22 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:41:22 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:41:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:41:22 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:33 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:33 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:33 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:33 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:42 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:42 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:42 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:42 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:45 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:45 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:45 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:45 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:48 +0000] "OPTIONS /books/15 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:48 +0000] "GET /books/15 HTTP/1.1" 200 310
::1 - - [13/Mar/2025:18:46:54 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:54 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:46:55 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:46:55 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:49:32 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:49:32 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:49:33 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:49:33 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:49:33 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:49:33 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:49:33 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:49:33 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:51:43 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:51:43 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:51:43 +0000] "OPTIONS /users HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:51:43 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:51:43 +0000] "GET /users HTTP/1.1" 200 415
::1 - - [13/Mar/2025:18:51:44 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:52:16 +0000] "OPTIONS /orders/users HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:52:17 +0000] "GET /orders/users HTTP/1.1" 422 41
::1 - - [13/Mar/2025:18:52:44 +0000] "OPTIONS /orders/users HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:52:44 +0000] "GET /orders/users HTTP/1.1" 422 41
::1 - - [13/Mar/2025:18:54:51 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:54:51 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:54:51 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:54:51 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:14 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:14 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:15 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:15 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:17 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:17 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /books HTTP/1.1" 200 2855
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 200 229709
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 200 54420
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 200 73512
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 200 90146
::1 - - [13/Mar/2025:18:55:17 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 200 123269
::1 - - [13/Mar/2025:18:55:22 +0000] "OPTIONS /books/15 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:22 +0000] "GET /books/15 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:40 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:40 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:48 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:48 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:48 +0000] "OPTIONS /users HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:48 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:48 +0000] "GET /users HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:48 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:55:51 +0000] "OPTIONS /orders/users HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:55:51 +0000] "GET /orders/users HTTP/1.1" 422 41
::1 - - [13/Mar/2025:18:56:05 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:05 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:05 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:05 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:05 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:05 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:05 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:05 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:06 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:06 +0000] "GET /uploads/1741835986829-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:06 +0000] "GET /uploads/1741835994121-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:06 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:06 +0000] "GET /uploads/1741836221895-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:13 +0000] "OPTIONS /books/15 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:13 +0000] "GET /books/15 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:17 +0000] "OPTIONS /books/40 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:17 +0000] "OPTIONS /books/39 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:17 +0000] "OPTIONS /books/42 HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /books/39 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /books/40 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:17 +0000] "GET /books/42 HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:23 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /uploads/1741835951197-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:56:23 +0000] "GET /uploads/1741836010177-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:09 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:59:09 +0000] "OPTIONS /cart HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:59:09 +0000] "OPTIONS /books HTTP/1.1" 204 0
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /books HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /uploads/1741835676984-image.jpeg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /uploads/1741835795717-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /uploads/1741835831258-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /uploads/1741835941431-image.jpg HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /cart HTTP/1.1" 304 -
::1 - - [13/Mar/2025:18:59:10 +0000] "GET /books HTTP/1.1" 304 -
